id,산,고도,지역,인증 지점,컬렉션,모티프,x,y,scale,기본 눈,해 x,해 y,팔레트
"0000000001","가야산","1433","경상","가야산 상왕봉","hundred","rock-wall","61","62","0.69","custom","121","50","red"
"0000000004","가지산","1241","경상","가지산","hundred","none","0","0","1","custom","121","50","red"
"0000000011","구병산","876","경상","구병산","hundred","none","0","0","1","none","54","49","red"
"0000000012","금산","705","경상","남해 금산 정상","hundred","rock-dome","87","68","0.52","none","54","49","red"
"0000000014","금오산","977","경상","현월봉 정상","hundred","sheer-face","68","64","0.65","none","54","49","red"
"0000000015","금정산","801","경상","고당봉","hundred","rock-dome","78","64","0.55","none","121","50","red"
"0000000018","내연산","711","경상","삼지봉","hundred","none","0","0","1","none","54","49","red"
"0000000022","대야산","931","경상","대야산","hundred","rock-spire","74","55","0.47","none","121","50","red"
"0000000036","무학산","761","경상","중봉","hundred","none","0","0","1","none","54","49","red"
"0000000037","미륵산","458","경상","미륵산 정상","hundred","rock-dome","80","77","0.34","none","121","50","red"
"0000000048","비슬산","1083","경상","비슬산 천왕봉","hundred","meadow","50","113","0.88","custom","54","49","red"
"0000000053","성인봉","987","경상","성인봉","hundred","none","0","0","1","none","121","50","red"
"0000000056","속리산","1058","경상","속리산 천왕봉","hundred","rock-dome","90","57","0.33","custom","54","49","red"
"0000000057","신불산","1159","경상","구 정상석","hundred","meadow","70","111","0.95","custom","54","49","gold"
"0000000058","연화산","524","경상","연화1봉","hundred","none","0","0","1","none","54","49","red"
"0000000063","운문산","1195","경상","함화산 1107m","hundred","none","0","0","1","custom","54","49","red"
"0000000071","재약산","1119","경상","상투봉","hundred","meadow","47","120","0.82","custom","54","49","gold"
"0000000076","주흘산","1108","경상","주흘산 주봉","hundred","sheer-face","64","53","0.7","custom","121","50","red"
"0000000078","지리산(통영)","399","경상","가마봉 정상","hundred","none","0","0","1","none","121","50","red"
"0000000081","천성산","920","경상","산정상","hundred","meadow","53","114","0.86","none","121","50","gold"
"0000000083","청량산","870","경상","장인봉","hundred","rock-wall","65","69","0.55","none","121","50","red"
"0000000090","팔공산","1192","경상","동봉","hundred","rock-spire","94","61","0.4","custom","54","49","red"
"0000000095","화왕산","758","경상","화왕지맥","hundred","meadow","55","111","0.93","none","121","50","gold"
"0000000096","황매산","1113","경상","황매산 군립공원","hundred","meadow","49","117","0.98","custom","54","49","gold"
"0000000097","황석산","1193","경상","황석산 정상","hundred","rock-spire","73","50","0.46","custom","121","50","red"
"0000000098","황악산","1111","경상","황악산 정상 1111m","hundred","none","0","0","1","custom","54","49","red"
"0000000099","황장산","1079","경상","황장산","hundred","none","0","0","1","custom","121","50","red"
"0000000100","희양산","996","경상","희양산 정상","hundred","rock-dome","62","51","1.05","none","121","50","red"
"0000000007","계룡산","847","충청","삼불봉","hundred","none","0","0","1","none","121","50","red"
"0000000013","금수산","1016","충청","금수산정상","hundred","rock-dome","67","69","0.48","custom","121","50","red"
"0000000020","대둔산","879","충청","정상","hundred","bridge","48","90","0.86","none","54","49","red"
"0000000023","덕숭산","495","충청","덕숭산정상","hundred","rock-dome","77","81","0.33","none","121","50","red"
"0000000026","도락산","965","충청","도락산","hundred","rock-spire","79","61","0.44","none","121","50","red"
"0000000038","민주지산","1242","충청","민주지산","hundred","none","0","0","1","custom","54","49","red"
"0000000050","서대산","905","충청","장군바위정상","hundred","rock-wall","64","76","0.52","none","121","50","red"
"0000000066","월악산","1095","충청","영봉안내","hundred","sheer-face","76","48","0.66","custom","121","50","red"
"0000000082","천태산","714","충청","천태산 정상","hundred","rock-dome","69","73","0.4","none","121","50","red"
"0000000087","칠갑산","560","충청","삼형제봉","hundred","none","0","0","1","none","121","50","red"
